 5, 4, 8, 2, 1, 2, 5, 1, 9, 6, 8,11, 2, 4, 5, 6, 6, 9, 4, 6, 8,-1
 5, 2, 2, 1, 5, 9, 7, 1, 1, 1, 1, 7, 1, 6, 9,-1,-1, 1, 1, 7, 6, 6
 2,11, 7, 1, 4, 5, 1,11, 5, 1, 1, 3, 4, 8, 9, 8,11, 5,11, 6, 6, 2
 8, 1, 1, 9,11,11, 2,11,11,11, 6, 8, 1, 1, 8, 5, 8, 4, 4, 6, 7,11
 3, 9,11, 3, 6, 7,11, 1, 5,-1, 9, 2, 7,11, 7, 6,11,11,-1, 7, 1, 3
 5, 3, 1, 1, 8, 1, 2, 4, 1, 3, 1, 9, 1, 7, 1, 7, 9, 9, 6, 9, 3,11
 7, 6, 7, 1, 8, 1, 1, 6, 5, 8, 1, 2,11,-1, 4, 1, 4,11, 3, 5, 8, 6
 2, 6, 6, 3, 6, 5, 1, 1, 9, 1, 5, 4, 9,11, 7, 1, 3, 4, 1, 4, 2, 8
 8,-1, 1, 8, 6,-1, 5, 9, 4, 8, 5, 3, 7, 6, 6, 8,11, 4, 9, 6, 5, 3
 6, 6,11,-1, 2, 1, 2, 7,-1,-1, 6,11,11, 3, 2, 7, 5, 8, 2, 8, 2, 4
 6, 2, 3,-1, 1, 8, 6,-1, 7, 2, 1,-1, 2, 3, 2,11, 3, 7, 2, 3, 6, 2
 8, 7, 8, 3, 1, 9, 2, 1, 1, 4, 2, 7, 1, 1, 1, 9, 7, 1, 7, 4, 7,-1
-1, 3, 3, 8,11, 1, 9,-1,11, 1, 4, 1, 3,11, 1, 7, 7, 3, 3, 8, 7, 5
 6, 6, 3, 4, 4, 5, 3, 5,-1, 9, 1,11, 1, 9, 4, 4, 7, 5, 9, 2, 7,11
 9, 3, 1, 1, 3, 2,11, 7, 4, 2,-1, 5, 9, 8, 8, 3,11, 1, 7, 2, 7, 1
 4, 2, 3,11,-1, 5, 6, 9, 6, 7, 2, 5,11, 9,11, 6, 5, 5, 8, 4, 5,-1
 1, 2, 6, 2, 7, 3, 8, 7,11, 7,11, 3, 7, 1, 1, 5, 9, 1, 5,11, 7, 2
 9,11,-1,-1,11, 1,-1, 2, 6, 9, 6, 4, 1, 2, 9, 3,11, 2, 9,-1, 5, 8
-1, 6, 5, 4, 1, 7, 5, 5, 8, 9,11,11, 8,-1,11, 7, 2, 3, 7, 8, 1, 4
 1, 3, 7,11, 3, 1, 3, 4, 2, 4, 1,-1, 8,-1,11, 3, 5, 3, 7, 8,11, 7
 9, 5, 1,11, 8, 4, 8, 3, 2, 5, 1, 7, 1,11,11, 3, 7, 7, 5, 5, 2, 6
 6,-1, 5,-1, 1,11,-1, 6, 9, 3, 1, 2, 3, 4, 7, 7, 7, 6, 1, 5, 2, 2
0,0
21,21
